,0,1,2
0,5,0.0,0.15385053678311086
1,5,0.1,0.19192476101069972
2,5,0.5,0.27607490873857576
3,5,0.8,0.29440931067518034
4,5,1.0,0.3075103629435747
5,5,1.5,0.333012745114
6,5,1.7999999999999998,0.35638841743584015
7,5,2.0,0.36352750476315004
8,5,3.0,0.4120662629017895
9,5,4.0,0.4664136360770263
10,5,5.0,0.5117675078061227
11,10,0.0,0.09831192283441507
12,10,0.1,0.11768366943401765
13,10,0.5,0.19265556492193758
14,10,0.8,0.22990684739835812
15,10,1.0,0.23975459115939432
16,10,1.5,0.2685594477238161
17,10,1.7999999999999998,0.2836385189369774
18,10,2.0,0.2918226274796024
19,10,3.0,0.3073352166892071
20,10,4.0,0.3185494723615496
21,10,5.0,0.3401611002522599
22,25,0.0,0.13197971449935308
23,25,0.1,0.13687212520928707
24,25,0.5,0.13437022195624687
25,25,0.8,0.1419162468102594
26,25,1.0,0.14800744091434578
27,25,1.5,0.16056678366845184
28,25,1.7999999999999998,0.16308949609422455
29,25,2.0,0.17415174362909072
30,25,3.0,0.1978989264036733
31,25,4.0,0.21566764624936222
32,25,5.0,0.23136873990596157
33,50,0.0,0.1270872963139418
34,50,0.1,0.11409541623255166
35,50,0.5,0.13038124747597127
36,50,0.8,0.12760704217293833
37,50,1.0,0.1318664964757153
38,50,1.5,0.12980887543987985
39,50,1.7999999999999998,0.1337587702054859
40,50,2.0,0.13909879366191744
41,50,3.0,0.14691992748353125
42,50,4.0,0.15819809766334497
43,50,5.0,0.16789081699152172
44,75,0.0,0.11747568970916947
45,75,0.1,0.1175241071198472
46,75,0.5,0.12124902031205585
47,75,0.8,0.1257674412900414
48,75,1.0,0.12333416026755767
49,75,1.5,0.1213261012864154
50,75,1.7999999999999998,0.1268283775964375
51,75,2.0,0.12817285337518863
52,75,3.0,0.12790434094295228
53,75,4.0,0.13441859835249625
54,75,5.0,0.14487579644908277
55,100,0.0,0.1160760261462849
56,100,0.1,0.11333059382369286
57,100,0.5,0.1174154469600912
58,100,0.8,0.11351501018120672
59,100,1.0,0.11334775402215551
60,100,1.5,0.11714959342485919
61,100,1.7999999999999998,0.11388314294534765
62,100,2.0,0.11414968900691118
63,100,3.0,0.11283657732407883
64,100,4.0,0.11868074897015433
65,100,5.0,0.12479333279344497
