,0,1,2
0,5,0.0,0.13687719790573394
1,5,0.1,0.13388322557717452
2,5,0.5,0.1374040764619769
3,5,0.8,0.1407024898426059
4,5,1.0,0.1437047948891548
5,5,1.5,0.13992944002132182
6,5,1.7999999999999998,0.13735499733925255
7,5,2.0,0.1399755081798755
8,5,3.0,0.14108481862525948
9,5,4.0,0.14016513322031354
10,5,5.0,0.13903136462857413
11,10,0.0,0.12368411819477722
12,10,0.1,0.1268885115886171
13,10,0.5,0.12213846837743504
14,10,0.8,0.12750117399391855
15,10,1.0,0.12595740245437703
16,10,1.5,0.12155751972460949
17,10,1.7999999999999998,0.12905975301990005
18,10,2.0,0.12365138470497734
19,10,3.0,0.12199306221581491
20,10,4.0,0.12038040926633292
21,10,5.0,0.1286756048334229
22,25,0.0,0.09477229078249132
23,25,0.1,0.09338016504473745
24,25,0.5,0.09490102570628513
25,25,0.8,0.09499035471587557
26,25,1.0,0.09211759834096443
27,25,1.5,0.09477326271244327
28,25,1.7999999999999998,0.09021959559360397
29,25,2.0,0.09913913168369064
30,25,3.0,0.09386219739953361
31,25,4.0,0.09921601840148175
32,25,5.0,0.09946150581291896
33,50,0.0,0.05608599944409226
34,50,0.1,0.05873460988042071
35,50,0.5,0.05145597903876965
36,50,0.8,0.05630259357111854
37,50,1.0,0.05445202128527921
38,50,1.5,0.055575012986991655
39,50,1.7999999999999998,0.059580958151663234
40,50,2.0,0.0525509399322662
41,50,3.0,0.05945059547443904
42,50,4.0,0.059188453592960086
43,50,5.0,0.06125766438755293
44,75,0.0,0.035626722317256346
45,75,0.1,0.03470553201744937
46,75,0.5,0.03223737978526515
47,75,0.8,0.033126677316643566
48,75,1.0,0.031521189900748765
49,75,1.5,0.03675247581327595
50,75,1.7999999999999998,0.03304533806526508
51,75,2.0,0.03464860689705292
52,75,3.0,0.033475334628346204
53,75,4.0,0.035950240035366225
54,75,5.0,0.03557853261157209
55,100,0.0,0.024296687058570292
56,100,0.1,0.025003700026969007
57,100,0.5,0.025667483081350525
58,100,0.8,0.02366472843036802
59,100,1.0,0.0236866534199972
60,100,1.5,0.023464146969207605
61,100,1.7999999999999998,0.02332897770710279
62,100,2.0,0.025028215902028153
63,100,3.0,0.023814677259112283
64,100,4.0,0.027152806597846944
65,100,5.0,0.027575477863591942
